ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Bjorkman J.,Davydenko N.,97,7,6,7,1,2,,,,,,,0,1,Retired,2,1.72,2,1.81,1.99,1.76,1.8,1.8,2.17,1.79
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Gonzalez F.,Zib T.,24,62,6,4,7,6,6,3,,,,,3,0,Completed,1.39,2.75,1.4,2.95,1.28,3.46,1.3,2.9,1.42,3.2
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Kiefer N.,di Mauro A.,26,93,6,3,7,5,6,3,,,,,3,0,Completed,1.1,6.5,1.1,7,1.13,5.5,1.1,5,1.14,7.41
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Hewitt L.,Hernych J.,2,66,6,2,7,5,3,6,6,3,,,3,1,Completed,1.05,9,1.04,11,1.05,8.5,1.05,6,1.07,13.5
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Youzhny M.,Lisnard J.R.,34,98,1,6,7,5,6,3,6,4,,,3,1,Completed,1.12,5.5,1.1,7,1.1,6.23,1.15,4,1.13,7.75
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Ancic M.,Udomchoke D.,17,161,7,6,3,6,6,3,6,3,,,3,1,Completed,1.03,11,1.02,14,1.04,9.25,1.05,6,1.03,21.2
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Mayer F.,Verdasco F.,57,59,7,6,7,5,6,3,,,,,3,0,Completed,2,1.72,2,1.77,2.12,1.67,1.85,1.75,2.15,1.8
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Johansson J.,Rusedski G.,10,40,7,6,3,6,6,4,7,6,,,3,1,Completed,1.57,2.25,1.7,2.15,1.7,2.1,1.65,1.95,1.66,2.41
36,London,Wimbledon,22/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Monfils G.,Hrbaty D.,83,25,6,3,6,3,2,6,7,5,,,3,1,Completed,2.5,1.5,2.4,1.57,2.6,1.45,2.2,1.5,2.82,1.5
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Novak J.,Santoro F.,28,53,5,1,4,6,7,6,6,3,,,3,1,Completed,1.57,2.25,1.6,2.35,1.64,2.17,1.6,2,1.6,2.58
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Andreev I.,Sanguinetti D.,42,64,6,4,6,2,3,6,6,3,,,3,1,Completed,1.53,2.37,1.7,2.15,1.7,2.1,1.75,1.85,1.69,2.35
36,London,Wimbledon,23/06/05,Grand Slam,Outdoor,Grass,2nd Round,5,Gasquet R.,Elseneer G.,20,191,7,6,7,6,6,7,6,2,,,3,1,Completed,1.05,9,1.06,9,1.06,7.79,1.1,5,1.09,10.65
